RAL,RGB,HEX,CMYK,LRV,English,German,French,Spanish,Italian,Dutch
RAL8002,121-77-62,#794D3E,0-36-49-53,12.23,Signalbrown,Signalbraun,Brundesécurité,Marrónseñales,Marronesegnale,Signaalbruin
RAL8003,126-75-39,#7E4B27,0-40-69-51,12.78,Claybrown,Lehmbraun,Brunargile,Pardoarcilla,Marronefango,Leembruin
RAL8004,141-73-49,#8D4931,0-48-65-45,13.54,Copperbrown,Kupferbraun,Bruncuivré,Pardocobre,Marronerame,Koperbruin
RAL8007,112-70-43,#70462B,0-38-62-56,10.6,Fawnbrown,Rehbraun,Brunfauve,Pardocorzo,Marronecapriolo,Reebruin
RAL8008,114-74-37,#724A25,0-35-68-55,11.88,Olivebrown,Olivbraun,Brunolive,Pardooliva,Marroneoliva,Olijfbruin
RAL8011,90-56-39,#5A3827,0-38-57-65,8.11,Nutbrown,Nußbraun,Brunnoisette,Pardonuez,Marronenoce,Notenbruin
RAL8012,102-51-43,#66332B,0-50-58-60,8.16,Redbrown,Rotbraun,Brunrouge,Pardorojo,Marronerossiccio,Roodbruin
RAL8014,74-53-38,#4A3526,0-28-49-71,7.12,Sepiabrown,Sepiabraun,Brunsépia,Sepia,Marroneseppia,Sepiabruin
RAL8015,94-47-38,#5E2F26,0-50-60-63,7.67,Chestnutbrown,Kastanienbraun,Marron,Castaño,Marronecastagna,Kastanjebruin
RAL8016,76-43-32,#4C2B20,0-43-58-70,6.78,Mahoganybrown,Mahagonibraun,Brunacajou,Caoba,Marronemogano,Mahoniebruin
RAL8017,68-47-41,#442F29,0-31-40-73,6.64,Chocolatebrown,Schokoladenbraun,Brunchocolat,Chocolate,Marronecioccolata,Chocoladebruin
RAL8019,61-54-53,#3D3635,0-11-13-76,6.88,Greybrown,Graubraun,Brungris,Pardogrisáceo,Marronegrigiastro,Grijsbruin
RAL8022,26-23-25,#1A1719,0-12-4-90,4.57,Blackbrown,Schwarzbraun,Brunnoir,Pardonegruzco,Marronenerastro,Zwartbruin
RAL8023,164-87-41,#A45729,0-47-75-36,17.78,Orangebrown,Orangebraun,Brunorangé,Pardoanaranjado,Marronearancio,Oranjebruin
RAL8024,121-80-56,#795038,0-34-54-53,12.99,Beigebrown,Beigebraun,Brunbeige,Pardobeige,Marronebeige,Beigebruin
RAL8025,117-88-71,#755847,0-25-39-54,13.68,Palebrown,Blaßbraun,Brunpâle,Pardopálido,Marronepallido,Bleekbruin
RAL8028,81-58-42,#513A2A,0-28-48-68,8.21,Terrabrown,Terrabraun,Brunterre,Marróntierra,Marroneterra,Terrabruin
RAL8029,127-64-49,#7F4031,0-50-61-50,14.02,Pearlcopper,Perlkupfer,Cuivrenacré,Cobreperlado,Rameperlato,Parelmoerkoper
RAL9001,233-224-210,#E9E0D2,0-4-10-9,75.78,Cream,Cremeweiß,Blanccrème,Blancocrema,Biancocrema,Crèmewit
RAL9002,214-213-203,#D6D5CB,0-0-5-16,67.19,Greywhite,Grauweiß,Blancgris,Blancogrisáceo,Biancogrigiastro,Grijswit
RAL9003,236-236-231,#ECECE7,0-0-2-7,84.54,Signalwhite,Signalweiß,Blancdesécurité,Blancoseñales,Biancosegnale,Signaalwit
RAL9004,43-43-44,#2B2B2C,2-2-0-83,5.69,Signalblack,Signalschwarz,Noirdesécurité,Negroseñales,Nerosegnale,Signaalzwart
RAL9005,14-14-16,#0E0E10,13-13-0-94,4.22,Jetblack,Tiefschwarz,Noirfoncé,Negrointenso,Nerointenso,Gitzwart
RAL9006,161-161-160,#A1A1A0,0-0-1-37,45.88,Whitealuminium,Weißaluminium,Aluminiumblanc,Aluminioblanco,Alluminiobrillante,Blankaluminiumkleurig
RAL9007,134-133-129,#868581,0-1-4-47,28.94,Greyaluminium,Graualuminium,Aluminiumgris,Aluminiogris,Alluminiogrigiastro,Grijsaluminiumkleurig
RAL9010,241-237-225,#F1EDE1,0-2-7-5,84.82,Purewhite,Reinweiß,Blancpur,Blancopuro,Biancopuro,Zuiverwit
RAL9011,39-41-43,#27292B,9-5-0-83,4.87,Graphiteblack,Graphitschwarz,Noirgraphite,Negrografito,Nerografite,Grafietzwart
RAL9012,248-242-225,#F8F2E1,0-2-9-3,,Cleanroomwhite,Reinraumweiß,Blancsalleblanche,Blancosalablanca,Biancocleanroom,Ultrareinezonewit
RAL9016,241-241-234,#F1F1EA,0-0-3-5,87.27,Trafficwhite,Verkehrsweiß,Blancsignalisation,Blancotráfico,Biancotraffico,Verkeerswit
RAL9017,41-41-42,#29292A,2-2-0-84,5.09,Trafficblack,Verkehrsschwarz,Noirsignalisation,Negrotráfico,Nerotraffico,Verkeerszwart
RAL9018,200-203-196,#C8CBC4,1-0-3-20,60.77,Papyruswhite,Papyrusweiß,Blancpapyrus,Blancopapiro,Biancopapiro,Papyruswit
RAL9022,133-133-131,#858583,0-0-2-48,35.4,Pearllightgrey,Perlhellgrau,Grisclairnacré,Grisclaroperlado,Grigiochiaroperlato,Parelmoerlichtgrijs
RAL9023,120-123-122,#787B7A,2-0-1-52,33.87,Pearldarkgrey,Perldunkelgrau,Grisfonçénacré,Grisoscuroperlado,Grigioscuroperlato,Parelmoerdonkergrijs
